user,task,attempt,start_time,text_system,text_user,asr_hypothesis,speaker,rating,asr_confidence,asr_time,barge-in,n_sys_words,n_user_words,sysTurnDuration,userTurnDuration,system_speech_act,WER,WER_moved,num_turns,num_sorry,mean_WER,mean_asr_conf,sum_barge,mean_sys_words,SSA_sorry,SSA_info,SSA_confirm
14,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,,,,0,53,,22,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
14,1,1,22,,"Bonuspunkte,",bonus punkte,u,,75,27,0,,1,,3,,0,,,,,,,,,,
14,1,1,27,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreißig Komma fünf, Bitte sagen Sie mir noch was Sie tun möchten, Sie haben jetzt folgende Möglichkeiten, Sie können sich von unserem Bonusprogramm Xtra-Bonus abmelden oder Informationen zu diesem Thema anhören, Was möchten Sie tun?",,,s,,,,0,43,,19,,INFO ASKFORINFO,,0,,,,,,,0,1,0
14,1,1,46,,"Informationen,",informationen,u,,77,49,0,,1,,2,,0,,,,,,,,,,
14,1,1,49,"Günstige Handys gibt es auch für Xtra-Kunden, Melden Sie sich hier bei mir für Xtra-Bonus an und sparen Sie gleich beim nächsten Handykauf richtig Geld, Und so funktioniert's, Bei jeder Aufladung Ihrer Xtra-Karte bekommen Sie Rabattpunkte, So erhalten Sie zum Beispiel",,,s,,,,0,41,,16,,,,0,,,,,,,,,
14,1,1,65,bei fünfzig,Kann ich jetzt einfach auflegen?,,s u,,0,,1,2,5,1,1,,0.8,,6,0,0,50.6666666667,1,34.75,,,
15,1,1,0,"#NS Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt Ihr Anliegen,",,,s,4,,,0,53,,23,,ASKFORINFO WELCOME NAV,,,1,0,,,0,53,0,0,0
15,1,1,23,,Al- ähm ich will wissen wieviel Punkte ich gesammelt habe,,u,2,0,,0,,10,,6,,0.9,,1,0,,0,0,,,,
15,1,1,29,En-,"ähm meine Bonuspunkte,",,s u,2,0,,1,1,3,2,2,,0.75,0.9,1,0,0.9,0,1,1,,,
15,1,1,33,"Es tut mir leid, Ich kann Ihr Anliegen immer noch nicht zuordnen, Bitte sagen Sie entweder einen Satz zum Beispiel ich möchte Informationen über die Tarife oder ein Stichwort zum Beispiel Übersicht Information Bedienungshinweise Änderungen oder sagen Sie Kundenberater,",,,s,,,,0,39,,21,,SORRY,,0.75,,,,,,,1,0,0
15,1,1,54,,"Bonuspunkteprogramm,",bonus punkte programm,u,,70,58,0,,1,,2,,0,,,,,,,,,,
15,1,1,59,"Derzeit bieten wir kein aktuelles Bonusprogramm an, #NS Sie befinden sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,1,,,0,22,,10,,INFO ASKFORINFO NAV,,0,3,1,0.375,70,0,30.5,0,1,0
15,1,1,69,,Ähm,,u,1,0,,0,,1,,3,,0,,1,0,,0,0,,,,
15,1,1,74,"Punkte sammeln,",Entschuldi-,,u s,,0,,1,2,1,1,1,,0,0,,,,,,,,,
15,1,1,79,"Es tut mir leid, Ich kann Ihr Anliegen immer noch nicht zuordnen, Bitte sagen Sie entweder einen Satz zum Beispiel ich möchte Informationen über die Tarife oder ein Stichwort zum Beispiel Übersicht Information",,,s,,,,0,33,,16,,SORRY,,0,,,,,,,1,0,0
15,1,1,95,Bedienungshin-,Ich,ich will dies beispiel informationen zu meinen bonus punkte,u s,,62,101,1,1,1,1,1,,8,,,,,,,,,,
